panther:/ # cat /proc/28308/maps
73050000-73051000 r--p 00004000 fe:07 1293                               /system/framework/arm64/boot-voip-common.oat
73051000-73052000 rw-p 00005000 fe:07 1293                               /system/framework/arm64/boot-voip-common.oat
73052000-73054000 r--p 00000000 fe:07 1275                               /system/framework/arm64/boot-ims-common.oat
73054000-73056000 rw-p 00000000 fe:07 1313                               /system/framework/boot-ims-common.vdex
73056000-73057000 r--p 00002000 fe:07 1275                               /system/framework/arm64/boot-ims-common.oat
73057000-73058000 rw-p 00003000 fe:07 1275                               /system/framework/arm64/boot-ims-common.oat
73058000-73084000 r--p 00000000 fe:07 1245                               /system/framework/arm64/boot-core-icu4j.oat
73084000-7315c000 r-xp 0002c000 fe:07 1245                               /system/framework/arm64/boot-core-icu4j.oat
7315c000-7315d000 r--p 00104000 fe:07 1245                               /system/framework/arm64/boot-core-icu4j.oat
7315d000-7315e000 rw-p 00000000 00:00 0                                  [anon:.bss]
7315e000-73167000 rw-p 00000000 fe:07 1305                               /system/framework/boot-core-icu4j.vdex
73167000-73168000 r--p 00105000 fe:07 1245                               /system/framework/arm64/boot-core-icu4j.oat
73168000-73169000 rw-p 00106000 fe:07 1245                               /system/framework/arm64/boot-core-icu4j.oat
73169000-73939000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
73939000-7393a000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7393a000-73947000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
73947000-7616a000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7616a000-77169000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
77169000-97169000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
97169000-99169000 r--s 00000000 00:01 3074                               /memfd:jit-zygote-cache (deleted)
99169000-9b169000 r-xs 02000000 00:01 3074                               /memfd:jit-zygote-cache (deleted)
9b169000-9d169000 r--s 00000000 00:01 3231                               /memfd:jit-cache (deleted)
9d169000-9f169000 r-xs 02000000 00:01 3231                               /memfd:jit-cache (deleted)
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
571df98000-571df9a000 r--p 00000000 fe:07 151                            /system/bin/app_process64
571df9a000-571df9b000 r-xp 00002000 fe:07 151                            /system/bin/app_process64
571df9b000-571df9c000 r--p 00003000 fe:07 151                            /system/bin/app_process64
5fecc00000-5fedc00000 rw-s 5fecc00000 00:11 1068                         /dev/mali0
5fedc00000-5feec00000 rw-s 5fedc00000 00:11 1068                         /dev/mali0
5feec00000-5fefc00000 rw-s 5feec00000 00:11 1068                         /dev/mali0
5fefc00000-5ff0c00000 rw-s 5fefc00000 00:11 1068                         /dev/mali0
5ff0c00000-5ff1c00000 rw-s 5ff0c00000 00:11 1068                         /dev/mali0
5ff3800000-5ff3c01000 rw-s 5ff3800000 00:11 1068                         /dev/mali0
5ff3e00000-5ff4201000 rw-s 5ff3e00000 00:11 1068                         /dev/mali0
5ff4800000-5ff4b6f000 rw-s 5ff4800000 00:11 1068                         /dev/mali0
5ff8c00000-5ff9001000 rw-s 5ff8c00000 00:11 1068                         /dev/mali0
5ffee00000-5fff021000 rw-s 5ffee00000 00:11 1068                         /dev/mali0
5fff1be000-5fff1bf000 rw-s 5fff1be000 00:11 1068                         /dev/mali0
5fff1df000-5fff200000 rw-s 5fff1df000 00:11 1068                         /dev/mali0
5fffc1f000-5fffc20000 rw-s 5fffc1f000 00:11 1068                         /dev/mali0
5fffc20000-5fffc21000 rw-s 5fffc20000 00:11 1068                         /dev/mali0
5fffc21000-5fffc22000 rw-s 5fffc21000 00:11 1068                         /dev/mali0
5fffc38000-5fffc39000 rw-s 5fffc38000 00:11 1068                         /dev/mali0
5fffc39000-5fffc3a000 rw-s 5fffc39000 00:11 1068                         /dev/mali0
5fffc3a000-5fffc3b000 rw-s 5fffc3a000 00:11 1068                         /dev/mali0
5fffc3b000-5fffc3c000 rw-s 5fffc3b000 00:11 1068                         /dev/mali0
5fffc5c000-5fffcdd000 rw-s 5fffc5c000 00:11 1068                         /dev/mali0
5fffcdd000-5fffd1d000 rw-s 5fffcdd000 00:11 1068                         /dev/mali0
5fffd33000-5fffd34000 rw-s 5fffd33000 00:11 1068                         /dev/mali0
5fffd34000-5fffd37000 rw-s 009bd000 00:01 1024                           /mali csf (deleted)
5fffd37000-5fffdb7000 rw-s 5fffd37000 00:11 1068                         /dev/mali0
5fffdb7000-5fffdba000 rw-s 009ba000 00:01 1024                           /mali csf (deleted)
5fffdba000-5fffe3a000 rw-s 5fffdba000 00:11 1068                         /dev/mali0
5fffe3a000-5fffe3d000 rw-s 009b7000 00:01 1024                           /mali csf (deleted)
5fffe3d000-5fffebd000 rw-s 5fffe3d000 00:11 1068                         /dev/mali0
5fffebd000-5fffec0000 rw-s 009b4000 00:01 1024                           /mali csf (deleted)
5fffec0000-5ffff40000 rw-s 5fffec0000 00:11 1068                         /dev/mali0
5ffff40000-5ffff43000 rw-s 009b1000 00:01 1024                           /mali csf (deleted)
5ffff43000-5ffffc3000 rw-s 5ffff43000 00:11 1068                         /dev/mali0
5ffffc3000-5ffffd5000 rw-s 5ffffc3000 00:11 1068                         /dev/mali0
5ffffd5000-5ffffd6000 rw-s 5ffffd5000 00:11 1068                         /dev/mali0
5ffffd6000-5ffffd7000 rw-s 5ffffd6000 00:11 1068                         /dev/mali0
5ffffd7000-5ffffd8000 rw-s 5ffffd7000 00:11 1068                         /dev/mali0
5ffffdc000-5ffffdd000 rw-s 5ffffdc000 00:11 1068                         /dev/mali0
5fffff7000-5fffff8000 rw-s 5fffff7000 00:11 1068                         /dev/mali0
5fffffe000-5ffffff000 rw-s 5fffffe000 00:11 1068                         /dev/mali0
6d210b7000-6d2157c000 r--s 00000000 fe:2c 80771                          /data/data/com.google.android.gms/files/fonts/opentype/Noto_COLR_Emoji_Compat-400-100_0-0_0.ttf
6d2157c000-6d21a41000 r--s 00000000 fe:2c 80771                          /data/data/com.google.android.gms/files/fonts/opentype/Noto_COLR_Emoji_Compat-400-100_0-0_0.ttf
6d22a41000-6d22cfa000 ---p 00000000 00:00 0 
6d22cfa000-6d22cfc000 rw-p 00000000 00:00 0 
6d22cfc000-6d23d8a000 ---p 00000000 00:00 0 
6d23d8a000-6d23d8c000 rw-p 00000000 00:00 0 
6d23d8c000-6d256f6000 ---p 00000000 00:00 0 
6d256f6000-6d256f8000 rw-p 00000000 00:00 0 
6d256f8000-6d25a41000 ---p 00000000 00:00 0 
6d25a41000-6d25a42000 ---p 00000000 00:00 0 
6d25a42000-6d25a43000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28469]
6d25a43000-6d25b4a000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28469]
6d25b4a000-6d25b4b000 ---p 00000000 00:00 0 
6d25c9b000-6d25c9c000 ---p 00000000 00:00 0 
6d25c9c000-6d25d98000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28478]
6d25d98000-6d25d9a000 ---p 00000000 00:00 0 
6d25d9a000-6d25e9d000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d25e9d000-6d25e9f000 ---p 00000000 00:00 0 
6d25e9f000-6d25fa2000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d25fa2000-6d25fa4000 ---p 00000000 00:00 0 
6d25fa4000-6d2603c000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d2603c000-6d2603e000 ---p 00000000 00:00 0 
6d2603e000-6d2630b000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d2630b000-6d2630d000 ---p 00000000 00:00 0 
6d2630d000-6d2644f000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d2644f000-6d26451000 ---p 00000000 00:00 0 
6d26451000-6d26593000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d26593000-6d26595000 ---p 00000000 00:00 0 
6d26595000-6d2684f000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d2684f000-6d26851000 ---p 00000000 00:00 0 
6d26851000-6d26923000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d26923000-6d26925000 ---p 00000000 00:00 0 
6d26925000-6d26a4c000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d26a4c000-6d26a4d000 ---p 00000000 00:00 0 
6d26b4b000-6d26c49000 r--p 00000000 00:1d 5                              /dev/binderfs/hwbinder
6d26c49000-6d26d47000 r--p 00000000 00:1d 5                              /dev/binderfs/hwbinder
6d26d47000-6d277b4000 ---p 00000000 00:00 0 
6d277b4000-6d277b6000 rw-p 00000000 00:00 0 
6d277b6000-6d28a8e000 ---p 00000000 00:00 0 
6d28a8e000-6d28a90000 rw-p 00000000 00:00 0 
6d28a90000-6d28d47000 ---p 00000000 00:00 0 
6d28d47000-6d28d48000 ---p 00000000 00:00 0 
6d28d48000-6d28d49000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28467]
6d28d49000-6d28e44000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28467]
6d28e44000-6d28e46000 ---p 00000000 00:00 0 
6d28e46000-6d28e47000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28466]
6d28e47000-6d28f42000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28466]
6d28f42000-6d28f43000 ---p 00000000 00:00 0 
6d28f43000-6d293a6000 ---p 00000000 00:00 0 
6d293a6000-6d293a8000 rw-p 00000000 00:00 0 
6d293a8000-6d29f43000 ---p 00000000 00:00 0 
6d29f43000-6d29f44000 ---p 00000000 00:00 0 
6d29f44000-6d29f45000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28465]
6d29f45000-6d2a04c000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28465]
6d2a04c000-6d2a04e000 ---p 00000000 00:00 0 
